Brand,Product_Name,Duplicate_Count
pepsi,Pepsi Max Bottle,3
pepsi,Pepsi Max Cans,3
philadelphia,Philadelphia Cream Cheese Spread,3
philadelphia,Philadelphia Cream Cheese Spread Light,3
picon,Picon Cheese Portions,3
pine o cleen,Pine O Cleen Surface Wipes,3
pureau,Pureau Pure Water,3
NULL,Old El Paso Hard Taco Mince Bundle,3
nestle,Nestle Skim Sweetened Condensed Milk,3
mount franklin,Mount Franklin Lightly Sparkling Water Bottle,3
oak,Oak Chocolate Flavoured Milk,3
praise,Praise Whole Egg Mayonnaise Mayonnaise,3
nu pure,Nu Pure Still Spring Water,3
oak,Oak Strawberry Flavoured Milk (3x250ml),3
ocean blue,Ocean Blue Smoked Salmon,3
NULL,Old El Paso Soft Taco Mince Bundle,3
woolworths,Woolworths Asian Salad Tub,3
woolworths,Woolworths Asian Salad With Crunchy Noodles Bowl,3
woolworths,Woolworths Baby Leaf Salad With Beetroot Bag,3
woolworths,Woolworths Baby Leaf Spinach,3
woolworths,Woolworths Baby Rocket Salad Bag,3
woolworths,Woolworths Baby Spinach Salad Bag,3
woolworths,Woolworths Baby Spinach Salad With Rocket,3
woolworths,Woolworths Apple & Blackcurrant Juice,3
woolworths,Woolworths Apple & Cinnamon Muffins,3
woolworths,Woolworths Banana Bread Slices,3
woolworths,Woolworths Basmati Rice,3
woolworths,Woolworths Beef Lasagne,3
woolworths,Woolworths Blueberry Muffins,3
woolworths,Woolworths Bread Rolls Bacon & Cheese,3
woolworths,Woolworths Chicken & Caesar Bowl,3
woolworths,Woolworths Caesar Salad Bowl,3
woolworths,Woolworths Caesar Salad Kit,3
woolworths,Woolworths Caesar Salad Tub,3
woolworths,Woolworths Crispbread & Cheese Cheddar Dip,3
western star,Western Star Supersoft Spreadable,3
woolworths,Woolworths Almond Meal,3
woolworths,Woolworths Almonds Natural,3
vanish,Vanish Napisan Gold Pro Stain Remover Powder,3
vaalia,Vaalia Kids Lactose Free Yoghurt Pouch Strawberry,3
vaalia,Vaalia Kids Lactose Free Yoghurt Pouch Vanilla,3
vaalia,Vaalia Kids Yoghurt Pouch Banana,3
vaalia,Vaalia Kids Yoghurt Pouch Strawberry,3
vaalia,Vaalia Kids Yoghurt Pouch Tropical,3
vaalia,Vaalia Kids Yoghurt Pouch Vanilla,3
vaalia,Vaalia Low Fat French Vanilla Yoghurt,3
woolworths,Woolworths Evaporated Milk,3
woolworths,Woolworths Kids Chocolate Flavoured Milk,3
woolworths,Woolworths Kids Strawberry Flavoured Milk,3
woolworths,Woolworths Creamy & Crunchy Salad Kit,3
woolworths,Woolworths Double Choc Chip Muffin,3
woolworths,Woolworths Garden Salad Bowl,3
woolworths,Woolworths Greek Salad,3
woolworths,Woolworths Greek Salad Bowl,3
woolworths,Woolworths Extra Tasty Cheese Block,3
woolworths,Woolworths Free From Gluten White Bread,3
woolworths,Woolworths Mixed Leaf Iceberg Lettuce Blend,3
woolworths,Woolworths Mini Choc Chip Muffin,3
woolworths,Woolworths Lightly Sparkling Spring Water,3
woolworths,Woolworths Plain Bagels,3
woolworths,Woolworths Mini Blueberry Muffins,3
woolworths,Woolworths Mini Double Choc Muffins,3
woolworths,Woolworths Peach Slices In Juice,3
woolworths,Woolworths Single Leaf Baby Spinach,3
woolworths,Woolworths Sunflower Oil,3
woolworths,Woolworths Strawberry Yoghurt Pouch,3
woolworths,Woolworths Shredded Iceberg Lettuce,3
woolworths,Woolworths Mixed Baby Leaf Salad Mix,3
woolworths,Woolworths Pine Nuts,3
woolworths,Woolworths Thai Style Salad Kit,3
woolworths,Woolworths Vanilla Yoghurt Pouch,3
woolworths,Woolworths Yellowfin Tuna In Oil,3
woolworths,Woolworths Yellowfin Tuna In Springwater,3
woolworths,Woolworths Turmeric Couscous With Cauliflower & Cranberry,3
woolworths,Woolworths Sweetened Condensed Milk,3
woolworths,Woolworths Choc Chip Muffin,3
arm & hammer,Arm & Hammer Clump & Seal Slide Multi Cat Litter,3
artline,Artline Permanent Marker Black,3
alfa one,Alfa One Rice Bran Oil,3
abe's bagel bakery,Abe's Bagel Bakery Natural Bagels,3
a2,A2 Full Cream Milk,3
alka power,Alka Power Alkaline Water,3
babybel,Babybel Cheese Portions,3
berocca,Berocca Energy Vitamin Orange Effervescent Tablets,3
berocca,Berocca Energy Vitamin Original Berry Effervescent Tablets,3
breeders choice,Breeders Choice Paper Cat Litter,3
bega,Bega Cream Cheese Spread Spread,3
bundaberg,Bundaberg Diet Ginger Beer,3
brown brothers,Brown Brothers Prosecco Nv,3
coca-cola,Coca-cola Classic Soft Drink Multipack Cans,3
coca-cola,Coca-cola Diet Soft Drink Bottle,3
cloverdale,Cloverdale Tasty & Sweet Pure Honey,3
cadbury,Cadbury Dairy Milk Chocolate,3
carbonell,Carbonell Extra Virgin Olive Oil,3
chobani,Chobani No Fat Plain Yoghurt,3
coca-cola,Coca-cola No Sugar Soft Drink Bottle,3
coca-cola,Coca-cola No Sugar Soft Drink Multipack Cans,3
cocobella,Cocobella Straight Up Coconut Water,3
cold power,Cold Power Triple Caps,3
cornwell's,Cornwell's White Vinegar White,3
cottee's,Cottee's Strawberry Jam,3
country life,Country Life Gluten Free Grains & Seeds Bread,3
country life,Country Life Gluten Free White Bread,3
calbee,Calbee Harvest Snaps Original Salted,3
NULL,Cheese Platter Classic Small (serves 2-4),3
carman's,Carman's Dark Choc Blueberry Superfood Bars,3
golden circle,Golden Circle Beetroot Sliced,3
gillette,Gillette Mach3+ Blades,3
flora,Flora With Butter Spreadable Soft Butter Blend,3
frantelle,Frantelle Still Water,3
NULL,Fresh Beurre Bosc Pear,3
